symbol,name,theme,benchmark,invest_type,management,list_date,delist_date,list_status,m_fee,c_fee,scale_yi,scale_reliable,n_qualify_years,first_qualify_year,last_qualify_year,peak_year,peak_avg_daily_yi,latest_year,latest_avg_daily_yi,theme_representative,theme_norm,sector
515800.SH,汇添富中证800ETF,中证800,中证800指数收益率×100%,被动指数型,汇添富基金管理股份有限公司,20191216,nan,L,0.15,0.05,51.07,Y,5,2020,2026,2024,1.3027,2026,1.2132,Y,中证800,中证800
159834.SZ,南方上海金ETF,上海金集中定价合约的午盘基准价格,上海金集中定价合约的午盘基准价格收益率×100%,黄金现货合约,南方基金管理股份有限公司,20220316,nan,L,0.15,0.05,22.08,Y,2,2025,2026,2026,1.2077,2026,1.2077,Y,上海金集中定价,黄金
513070.SH,易方达中证港股通消费主题ETF,中证港股通消费主题,中证港股通消费主题指数收益率(使用估值汇率折算)×100%,被动指数型,易方达基金管理有限公司,20220324,nan,L,0.15,0.05,14.56,Y,1,2026,2026,2026,1.2076,2026,1.2076,Y,中证港股通消费主题,跨境-港股消费
159887.SZ,富国中证800银行ETF,中证800银行,中证800银行指数收益率×100%,被动指数型,富国基金管理有限公司,20210520,nan,L,0.5,0.1,7.82,Y,3,2023,2026,2025,1.5447,2026,1.1946,Y,中证800银行,中证800银行
512290.SH,国泰中证生物医药ETF,中证生物医药,中证生物医药指数收益率×100%,被动指数型,国泰基金管理有限公司,20190520,nan,L,0.5,0.1,32.6,Y,7,2020,2026,2020,2.136,2026,1.1926,Y,中证生物医药,医药生物
512090.SH,易方达MSCI中国A股国际通ETF,MSCI中国A股国际通,MSCI中国A股国际通指数(MSCIChinaAInclusionRMBIndex)收益率×100%,被动指数型,易方达基金管理有限公司,20180601,nan,L,0.15,0.05,6.67,Y,4,2018,2026,2026,1.19,2026,1.19,Y,MSCI中国A股国际通,MSCI中国A股国际通
159993.SZ,鹏华国证证券龙头ETF,国证证券龙头,国证证券龙头指数收益率×100%,被动指数型,鹏华基金管理有限公司,20200207,nan,L,0.5,0.1,38.69,Y,6,2020,2026,2025,1.1839,2026,1.1576,Y,国证证券龙头,证券
159529.SZ,景顺长城标普消费精选ETF(QDII),标普500消费精选,标普500消费精选指数收益率×100%,被动指数型,景顺长城基金管理有限公司,20240202,nan,L,0.5,0.2,10.54,Y,3,2024,2026,2025,8.8275,2026,1.1575,Y,标普500消费精选,跨境-美股行业
159731.SZ,华夏中证石化产业ETF,中证石化产业,中证石化产业指数收益率×100%,被动指数型,华夏基金管理有限公司,20211210,nan,L,0.15,0.05,7.23,Y,1,2026,2026,2026,1.1326,2026,1.1326,Y,中证石化产业,化工
159309.SZ,汇添富中证油气资源ETF,中证油气资源,中证油气资源指数收益率×100%,被动指数型,汇添富基金管理股份有限公司,20240618,nan,L,0.5,0.1,7.63,Y,1,2026,2026,2026,1.1218,2026,1.1218,Y,中证油气资源,石油天然气
560710.SH,富国中证智选船舶产业ETF,中证智选船舶产业,中证智选船舶产业指数收益率×100%,被动指数型,富国基金管理有限公司,20260206,nan,L,0.5,0.1,15.67,Y,1,2026,2026,2026,1.1208,2026,1.1208,Y,中证智选船舶产业,船舶
515170.SH,华夏中证细分食品饮料产业主题ETF,中证细分食品饮料产业主题,中证细分食品饮料产业主题指数收益率×100%,被动指数型,华夏基金管理有限公司,20210113,nan,L,0.5,0.1,39.93,Y,6,2021,2026,2021,1.8643,2026,1.0776,Y,中证细分食品饮料产业主题,食品饮料
562950.SH,易方达中证消费电子主题ETF,中证消费电子主题,中证消费电子主题指数收益率×100%,被动指数型,易方达基金管理有限公司,20220120,nan,L,0.15,0.05,16.38,Y,1,2026,2026,2026,1.074,2026,1.074,Y,中证消费电子主题,消费电子
159655.SZ,华夏标普500ETF(QDII),经估值汇率调整后的标普500,经估值汇率调整后的标普500指数收益率×100%,被动指数型,华夏基金管理有限公司,20221025,nan,L,0.6,0.15,44.14,Y,2,2025,2026,2025,2.5951,2026,1.069,Y,标普500,标普500
159256.SZ,华夏创业板软件ETF,创业板软件,创业板软件指数收益率×100%,被动指数型,华夏基金管理有限公司,20250804,nan,L,0.5,0.1,4.93,Y,1,2026,2026,2026,1.0492,2026,1.0492,Y,创业板软件,创业板软件
510180.SH,华安上证180ETF,上海证券交易所180成份,上海证券交易所180成份指数×100%,被动指数型,华安基金管理有限公司,20060518,nan,L,0.15,0.05,176.32,Y,11,2013,2026,2015,11.7707,2026,1.0399,Y,上证180,上证180
561330.SH,国泰中证有色金属矿业主题ETF,中证有色金属矿业主题,中证有色金属矿业主题指数收益率×100%,被动指数型,国泰基金管理有限公司,20221101,nan,L,0.5,0.1,17.93,Y,1,2026,2026,2026,1.0397,2026,1.0397,Y,中证有色金属矿业主题,有色金属
159209.SZ,招商中证全指红利质量ETF,中证全指红利质量,中证全指红利质量指数收益率×100%,被动指数型,招商基金管理有限公司,20250325,nan,L,0.15,0.05,25.63,Y,1,2026,2026,2026,1.0313,2026,1.0313,Y,中证全指红利质量,中证全指红利质量
588010.SH,博时上证科创板新材料ETF,上证科创板新材料,上证科创板新材料指数收益率×100%,被动指数型,博时基金管理有限公司,20221026,nan,L,0.5,0.1,9.85,Y,1,2026,2026,2026,1.0297,2026,1.0297,Y,上证科创板新材料,上证科创板新材料
159876.SZ,华宝中证有色金属ETF,中证有色金属,中证有色金属指数收益率×100%,被动指数型,华宝基金管理有限公司,20210324,nan,L,0.5,0.1,17.36,Y,1,2026,2026,2026,0.9987,2026,0.9987,Y,中证有色金属,有色金属
159141.SZ,永赢中证科创创业人工智能ETF,中证科创创业人工智能,中证科创创业人工智能指数收益率×100%,被动指数型,永赢基金管理有限公司,20251211,nan,L,0.5,0.1,15.78,Y,1,2026,2026,2026,0.9903,2026,0.9903,Y,中证科创创业人工智能,人工智能
513280.SH,汇添富恒生生物科技ETF(QDII),经人民币汇率调整的恒生生物科技,经人民币汇率调整的恒生生物科技指数收益率×100%,被动指数型,汇添富基金管理股份有限公司,20220718,nan,L,0.15,0.05,4.09,Y,2,2025,2026,2025,0.9868,2026,0.9845,Y,恒生生物科技,跨境-港股医药
513800.SH,南方顶峰TOPIXETF(QDII),经估值汇率调整的东证,经估值汇率调整的东证指数收益率×100%,被动指数型,南方基金管理股份有限公司,20190625,nan,L,0.2,0.05,19.62,Y,2,2025,2026,2026,0.9779,2026,0.9779,Y,东证,东证
520690.SH,博时恒生港股通创新药精选ETF,恒生港股通创新药精选,恒生港股通创新药精选指数收益率(经估值汇率调整后)×100%,被动指数型,博时基金管理有限公司,20250801,nan,L,0.5,0.1,4.61,Y,2,2025,2026,2026,0.9742,2026,0.9742,Y,恒生港股通创新药精选,跨境-港股医药
159625.SZ,嘉实国证绿色电力ETF,国证绿色电力,国证绿色电力指数收益率×100%,被动指数型,嘉实基金管理有限公司,20220429,nan,L,0.5,0.1,24.1,Y,2,2022,2026,2026,0.9714,2026,0.9714,Y,国证绿色电力,电力
520900.SH,广发中证国新港股通央企红利ETF,中证国新港股通央企红利指数同期,中证国新港股通央企红利指数同期收益率(使用估值汇率折算)×100%,被动指数型,广发基金管理有限公司,20240710,nan,L,0.15,0.05,15.56,Y,3,2024,2026,2026,0.9678,2026,0.9678,Y,中证国新港股通央企红利,跨境-港股红利
159745.SZ,国泰中证全指建筑材料ETF,中证全指建筑材料,中证全指建筑材料指数收益率×100%,被动指数型,国泰基金管理有限公司,20210618,nan,L,0.5,0.1,7.55,Y,4,2022,2026,2026,0.9423,2026,0.9423,Y,中证全指建筑材料,中证全指建筑材料
513850.SH,易方达MSCI美国50ETF(QDII),MSCI美国50,MSCI美国50指数收益率(使用估值汇率折算)×100%,被动指数型,易方达基金管理有限公司,20231117,nan,L,0.5,0.1,22.85,Y,3,2024,2026,2024,2.0345,2026,0.9367,Y,MSCI美国50,MSCI美国50
159758.SZ,华夏中证红利质量ETF,中证红利质量,中证红利质量指数收益率×100%,被动指数型,华夏基金管理有限公司,20211228,nan,L,0.15,0.05,15.34,Y,1,2026,2026,2026,0.9278,2026,0.9278,Y,中证红利质量,红利策略
