symbol,name,theme,benchmark,invest_type,management,list_date,delist_date,list_status,m_fee,c_fee,scale_yi,scale_reliable,n_qualify_years,first_qualify_year,last_qualify_year,peak_year,peak_avg_daily_yi,latest_year,latest_avg_daily_yi,theme_representative,theme_norm,sector
159400.SZ,景顺长城深证AAA科技创新公司债ETF,深证AAA科技创新公司债,深证AAA科技创新公司债指数收益率×100%,被动指数型,景顺长城基金管理有限公司,20250717,nan,L,0.15,0.05,72.14,Y,2,2025,2026,2026,11.3607,2026,11.3607,Y,深证AAA科技创新公司债,深证AAA科技创新公司债
159363.SZ,华宝创业板人工智能ETF,创业板人工智能,创业板人工智能指数收益率×100%,被动指数型,华宝基金管理有限公司,20241216,nan,L,0.5,0.1,70.03,Y,2,2025,2026,2026,11.2541,2026,11.2541,Y,创业板人工智能,创业板人工智能
159870.SZ,鹏华中证细分化工产业主题ETF,中证细分化工产业主题,中证细分化工产业主题指数收益率×100%,被动指数型,鹏华基金管理有限公司,20210303,nan,L,0.5,0.1,139.41,Y,5,2021,2026,2026,10.1196,2026,10.1196,Y,中证细分化工产业主题,化工
562500.SH,华夏中证机器人ETF,中证机器人,中证机器人指数收益率×100%,被动指数型,华夏基金管理有限公司,20211229,nan,L,0.5,0.1,179.6,Y,3,2024,2026,2025,11.3516,2026,9.4427,Y,中证机器人,机器人
511020.SH,平安中证5-10年期国债活跃券ETF,中证5-10年期国债活跃券,中证5-10年期国债活跃券指数收益率×100%,被动指数型,平安基金管理有限公司,20190222,nan,L,0.15,0.05,45.2,Y,5,2022,2026,2026,9.3541,2026,9.3541,Y,中证5-10年期国债活跃券,中证5-10年期国债活跃券
515220.SH,国泰中证煤炭ETF,中证煤炭,中证煤炭指数收益率×100%,被动指数型,国泰基金管理有限公司,20200302,nan,L,0.5,0.1,144.36,Y,7,2020,2026,2026,9.1402,2026,9.1402,Y,中证煤炭,煤炭
512800.SH,华宝中证银行ETF,中证银行,中证银行指数×100%,被动指数型,华宝基金管理有限公司,20170803,nan,L,0.5,0.1,99.29,Y,8,2019,2026,2026,8.6429,2026,8.6429,Y,中证银行,银行
159992.SZ,银华中证创新药产业ETF,中证创新药产业,中证创新药产业指数收益率×100%,被动指数型,银华基金管理股份有限公司,20200410,nan,L,0.5,0.05,163.03,Y,7,2020,2026,2026,8.2954,2026,8.2954,Y,中证创新药产业,创新药
512890.SH,华泰柏瑞中证红利低波动ETF,中证红利低波动,中证红利低波动指数收益率×100%,被动指数型,华泰柏瑞基金管理有限公司,20190118,nan,L,0.5,0.1,331.14,Y,4,2023,2026,2026,8.1533,2026,8.1533,Y,中证红利低波动,红利策略
510210.SH,富国上证综指ETF,上海证券交易所综合,上海证券交易所综合指数×100%,被动指数型,富国基金管理有限公司,20110325,nan,L,0.5,0.1,148.7,Y,5,2022,2026,2026,7.7834,2026,7.7834,Y,上证综合,上证综合
