symbol,name,theme,year,bars,avg_daily_amount_yi,qualifies
517960.SH,摩根中证沪港深科技100ETF,中证沪港深科技100,2024,119,0.0096,
517990.SH,招商中证沪港深500医药卫生ETF,中证沪港深500医药卫生,2022,155,0.0406,
517990.SH,招商中证沪港深500医药卫生ETF,中证沪港深500医药卫生,2023,242,0.018,
517990.SH,招商中证沪港深500医药卫生ETF,中证沪港深500医药卫生,2024,242,0.0141,
517990.SH,招商中证沪港深500医药卫生ETF,中证沪港深500医药卫生,2025,243,0.0186,
517990.SH,招商中证沪港深500医药卫生ETF,中证沪港深500医药卫生,2026,177,0.0209,
518600.SH,广发上海金ETF,合约代码:SHAU)的午盘基准价格,2020,101,0.2405,
518600.SH,广发上海金ETF,合约代码:SHAU)的午盘基准价格,2021,243,0.0372,
518600.SH,广发上海金ETF,合约代码:SHAU)的午盘基准价格,2022,242,0.0306,
518600.SH,广发上海金ETF,合约代码:SHAU)的午盘基准价格,2023,242,0.027,
518600.SH,广发上海金ETF,合约代码:SHAU)的午盘基准价格,2024,242,0.1583,
518600.SH,广发上海金ETF,合约代码:SHAU)的午盘基准价格,2025,243,1.2271,Y
518600.SH,广发上海金ETF,合约代码:SHAU)的午盘基准价格,2026,177,3.6346,Y
518660.SH,工银瑞信黄金ETF,上海黄金交易所Au99.99现货实盘合约收盘价,2020,147,0.255,
518660.SH,工银瑞信黄金ETF,上海黄金交易所Au99.99现货实盘合约收盘价,2021,243,0.0321,
518660.SH,工银瑞信黄金ETF,上海黄金交易所Au99.99现货实盘合约收盘价,2022,242,0.0403,
518660.SH,工银瑞信黄金ETF,上海黄金交易所Au99.99现货实盘合约收盘价,2023,242,0.0486,
518660.SH,工银瑞信黄金ETF,上海黄金交易所Au99.99现货实盘合约收盘价,2024,242,0.1346,
518660.SH,工银瑞信黄金ETF,上海黄金交易所Au99.99现货实盘合约收盘价,2025,243,1.8995,Y
518660.SH,工银瑞信黄金ETF,上海黄金交易所Au99.99现货实盘合约收盘价,2026,177,3.3744,Y
518680.SH,富国上海金ETF,上海黄金交易所上海金集中定价合约,2020,107,0.1464,
518680.SH,富国上海金ETF,上海黄金交易所上海金集中定价合约,2021,243,0.0378,
518680.SH,富国上海金ETF,上海黄金交易所上海金集中定价合约,2022,242,0.1486,
518680.SH,富国上海金ETF,上海黄金交易所上海金集中定价合约,2023,242,0.2291,
518680.SH,富国上海金ETF,上海黄金交易所上海金集中定价合约,2024,242,0.1505,
518680.SH,富国上海金ETF,上海黄金交易所上海金集中定价合约,2025,243,1.5574,Y
518680.SH,富国上海金ETF,上海黄金交易所上海金集中定价合约,2026,177,3.067,Y
518800.SH,国泰黄金ETF,Au99.99合约,2013,105,0.0453,
518800.SH,国泰黄金ETF,Au99.99合约,2014,245,0.013,
518800.SH,国泰黄金ETF,Au99.99合约,2015,244,0.0754,
518800.SH,国泰黄金ETF,Au99.99合约,2016,244,0.6795,Y
518800.SH,国泰黄金ETF,Au99.99合约,2017,244,1.1773,Y
518800.SH,国泰黄金ETF,Au99.99合约,2018,243,0.8306,Y
518800.SH,国泰黄金ETF,Au99.99合约,2019,244,1.2035,Y
518800.SH,国泰黄金ETF,Au99.99合约,2020,243,1.9003,Y
518800.SH,国泰黄金ETF,Au99.99合约,2021,243,1.79,Y
518800.SH,国泰黄金ETF,Au99.99合约,2022,242,1.7391,Y
518800.SH,国泰黄金ETF,Au99.99合约,2023,242,1.5972,Y
518800.SH,国泰黄金ETF,Au99.99合约,2024,242,1.5008,Y
518800.SH,国泰黄金ETF,Au99.99合约,2025,243,3.0698,Y
518800.SH,国泰黄金ETF,Au99.99合约,2026,177,6.4914,Y
518850.SH,华夏黄金ETF,上海黄金交易所黄金现货实盘合约Au99.99价格,2020,142,0.1205,
518850.SH,华夏黄金ETF,上海黄金交易所黄金现货实盘合约Au99.99价格,2021,243,0.0557,
518850.SH,华夏黄金ETF,上海黄金交易所黄金现货实盘合约Au99.99价格,2022,242,0.0833,
518850.SH,华夏黄金ETF,上海黄金交易所黄金现货实盘合约Au99.99价格,2023,242,0.0978,
518850.SH,华夏黄金ETF,上海黄金交易所黄金现货实盘合约Au99.99价格,2024,242,0.2868,
518850.SH,华夏黄金ETF,上海黄金交易所黄金现货实盘合约Au99.99价格,2025,243,4.0132,Y
518850.SH,华夏黄金ETF,上海黄金交易所黄金现货实盘合约Au99.99价格,2026,177,6.8975,Y
518860.SH,建信上海金ETF,合约代码:SHAU)的午盘基准价的,2020,77,0.0214,
518860.SH,建信上海金ETF,合约代码:SHAU)的午盘基准价的,2021,241,0.0016,
518860.SH,建信上海金ETF,合约代码:SHAU)的午盘基准价的,2022,239,0.0027,
518860.SH,建信上海金ETF,合约代码:SHAU)的午盘基准价的,2023,242,0.0046,
518860.SH,建信上海金ETF,合约代码:SHAU)的午盘基准价的,2024,242,0.026,
518860.SH,建信上海金ETF,合约代码:SHAU)的午盘基准价的,2025,243,0.4384,
518860.SH,建信上海金ETF,合约代码:SHAU)的午盘基准价的,2026,177,0.5266,Y
518880.SH,华安易富黄金ETF,Au99.99合约,2013,105,0.2691,
518880.SH,华安易富黄金ETF,Au99.99合约,2014,245,0.2743,
518880.SH,华安易富黄金ETF,Au99.99合约,2015,244,0.4987,
518880.SH,华安易富黄金ETF,Au99.99合约,2016,244,4.234,Y
518880.SH,华安易富黄金ETF,Au99.99合约,2017,244,11.7257,Y
518880.SH,华安易富黄金ETF,Au99.99合约,2018,243,10.4872,Y
518880.SH,华安易富黄金ETF,Au99.99合约,2019,244,10.847,Y
518880.SH,华安易富黄金ETF,Au99.99合约,2020,243,16.9699,Y
518880.SH,华安易富黄金ETF,Au99.99合约,2021,243,12.3536,Y
518880.SH,华安易富黄金ETF,Au99.99合约,2022,242,8.254,Y
518880.SH,华安易富黄金ETF,Au99.99合约,2023,242,6.8568,Y
518880.SH,华安易富黄金ETF,Au99.99合约,2024,242,12.819,Y
518880.SH,华安易富黄金ETF,Au99.99合约,2025,243,39.3682,Y
518880.SH,华安易富黄金ETF,Au99.99合约,2026,177,56.9987,Y
518890.SH,中银上海金ETF,上海黄金交易所上海金集中定价合约,2020,63,0.0524,
518890.SH,中银上海金ETF,上海黄金交易所上海金集中定价合约,2021,243,0.0234,
518890.SH,中银上海金ETF,上海黄金交易所上海金集中定价合约,2022,242,0.0422,
518890.SH,中银上海金ETF,上海黄金交易所上海金集中定价合约,2023,242,0.0403,
518890.SH,中银上海金ETF,上海黄金交易所上海金集中定价合约,2024,242,0.0488,
518890.SH,中银上海金ETF,上海黄金交易所上海金集中定价合约,2025,243,0.3652,
518890.SH,中银上海金ETF,上海黄金交易所上海金集中定价合约,2026,177,0.8082,Y
