symbol,trade_date,fd_share,close
159941.SZ,20260831,2253971.0164,1.653
159816.SZ,20260831,9714.7484,113.998
159210.SZ,20260831,3374.9802,0.827
159271.SZ,20260831,24938.6731,0.962
159835.SZ,20260831,36250.4143,0.659
159700.SZ,20260831,13915.9191,101.665
159820.SZ,20260831,135640.847,1.381
159857.SZ,20260831,220951.5725,0.714
159800.SZ,20260831,2673.6802,1.433
159896.SZ,20260831,3805.596,1.309
159212.SZ,20260831,8520.4367,1.462
159353.SZ,20260831,437616.1812,1.244
159333.SZ,20260831,20095.2835,1.38
159717.SZ,20260831,2787.3183,1.047
159663.SZ,20260831,43703.517,1.014
159965.SZ,20260831,2142.6953,1.642
159887.SZ,20260831,57841.595,1.352
159278.SZ,20260831,206254.5853,0.955
159266.SZ,20260831,34371.0088,0.988
159298.SZ,20260831,15928.1082,1.197
159329.SZ,20260831,115918.9188,0.922
159852.SZ,20260831,1402562.3921,0.694
159907.SZ,20260831,17319.7694,1.092
159540.SZ,20260831,12050.5191,1.966
159662.SZ,20260831,8161.3946,0.98
159677.SZ,20260831,2690.4091,1.485
159312.SZ,20260831,3222.4353,1.185
159655.SZ,20260831,216714.3045,2.037
159839.SZ,20260831,257323.5165,0.364
159841.SZ,20260831,1203223.8465,1.001
159770.SZ,20260831,608058.7762,1.01
159389.SZ,20260831,13409.3364,1.883
159229.SZ,20260831,14505.6022,1.225
159301.SZ,20260831,12145.8357,0.963
159125.SZ,20260831,84024.5883,0.716
159773.SZ,20260831,14510.312,1.303
159005.SZ,20260831,117.0456,100.0
159675.SZ,20260831,6384.6691,1.424
159370.SZ,20260831,23231.6009,1.792
159656.SZ,20260831,22823.8451,1.208
159905.SZ,20260831,98894.3951,1.685
159711.SZ,20260831,3046.5157,1.343
159365.SZ,20260831,4616.2398,1.003
159251.SZ,20260831,24378.7744,0.769
159895.SZ,20260831,7524.1864,1.409
159726.SZ,20260831,25191.138,1.37
159511.SZ,20260831,14744.4573,2.377
159520.SZ,20260831,15317.7649,0.928
159129.SZ,20260831,114140.6595,1.103
159845.SZ,20260831,212742.5606,3.233
159715.SZ,20260831,51303.0274,1.185
159361.SZ,20260831,2337209.0279,1.247
159856.SZ,20260831,34737.2474,0.587
159356.SZ,20260831,76112.0647,1.301
159918.SZ,20260831,3056.1264,2.524
159862.SZ,20260831,30750.0623,0.541
159775.SZ,20260831,67564.8961,0.777
159121.SZ,20260831,14448.1127,0.73
159970.SZ,20260831,1046.8704,1.027
159848.SZ,20260831,15531.1239,0.881
159736.SZ,20260831,750439.4457,0.586
159367.SZ,20260831,17207.9029,1.701
159206.SZ,20260831,950395.3365,1.395
159940.SZ,20260831,28305.9983,1.23
516920.SH,20260831,47946.3,1.43
560620.SH,20260831,2636.7,0.95
510880.SH,20260831,574717.57,3.489
511380.SH,20260831,453208.67,13.727
510760.SH,20260831,308650.37,1.355
516700.SH,20260831,17962.2,0.927
563770.SH,20260831,2580.7,1.201
512030.SH,20260831,4324.0,1.111
589200.SH,20260831,2250.7,1.38
513930.SH,20260831,10290.8,1.046
526000.SH,20260831,17614.2,1.223
513620.SH,20260831,5721.6,1.087
510090.SH,20260831,2508.11,2.576
512150.SH,20260831,1807.34,1.906
516720.SH,20260831,1083.78,1.159
515370.SH,20260831,96171.3,0.798
589210.SH,20260831,132093.8,0.696
513900.SH,20260831,8997.8,0.992
560100.SH,20260831,5658.03,1.363
510190.SH,20260831,2365.08,4.342
512750.SH,20260831,4655.49,1.45
512690.SH,20260831,3194935.02,0.419
515580.SH,20260831,30403.14,1.396
516770.SH,20260831,27604.8,1.156
516260.SH,20260831,4388.26,1.38
589850.SH,20260831,71205.7,1.615
520840.SH,20260831,112654.9,0.764
512240.SH,20260831,2168.6,1.155
530180.SH,20260831,5795.2,1.208
513880.SH,20260831,131297.0,2.142
516320.SH,20260831,8758.93,0.923
517950.SH,20260831,4862.32,1.188
588420.SH,20260831,33764.8,1.196
560230.SH,20260831,8388.9,0.748
517050.SH,20260831,34760.5,0.672
511520.SH,20260831,38329.65,118.354
520700.SH,20260831,46107.6,1.622
517770.SH,20260831,19694.78,0.883
560410.SH,20260831,5878.61,0.826
515910.SH,20260831,22750.7,0.685
563560.SH,20260831,5476.9,1.217
563870.SH,20260831,10830.39,0.651
520770.SH,20260831,21337.38,0.943
560130.SH,20260831,6977.62,0.92
512000.SH,20260831,7259523.54,0.528
511660.SH,20260831,762360.0,100.02
588860.SH,20260831,34088.94,0.665
512820.SH,20260831,39100.19,1.453
561310.SH,20260831,10783.31,0.725
510320.SH,20260831,63106.85,1.258
516710.SH,20260831,7427.2,0.759
560500.SH,20260831,29533.9,1.411
563080.SH,20260831,110058.84,1.38
513530.SH,20260831,283093.87,1.614
515350.SH,20260831,1169.92,6.275
513890.SH,20260831,89612.8,0.892
561300.SH,20260831,49396.5,1.079
513400.SH,20260831,274206.2,1.345
560480.SH,20260831,14180.3,0.889
589020.SH,20260831,437643.8,1.224
562000.SH,20260831,59673.79,0.602
563150.SH,20260831,3439.9,1.373
