sw_l1,sw_l2,sw_l3,组内排名,symbol,name,mktcap_yi,avg_amount_20d_yi,price,listing_date,is_st,已纳入
传媒,游戏,游戏Ⅲ,19,002425.SZ,凯撒文化,29.47,1.4271,3.08,2010-06-08,0,False
传媒,游戏,游戏Ⅲ,20,300052.SZ,中青宝,26.84,1.4316,10.25,2010-02-11,0,False
传媒,游戏,游戏Ⅲ,21,600892.SS,大晟文化,22.21,3.2592,3.97,1996-03-15,0,False
传媒,电视广播,电视广播Ⅲ,1,600637.SS,东方明珠,280.72,3.1359,8.35,1993-03-16,0,False
传媒,电视广播,电视广播Ⅲ,2,600037.SS,歌华有线,96.59,1.1252,6.94,2001-02-08,0,False
传媒,电视广播,电视广播Ⅲ,3,000917.SZ,电广传媒,95.4,2.2663,6.73,1999-03-25,0,False
传媒,电视广播,电视广播Ⅲ,4,600996.SS,贵广网络,85.28,1.1365,6.84,2016-12-26,0,False
传媒,电视广播,电视广播Ⅲ,5,301551.SZ,无线传媒,83.36,1.3709,20.84,2024-09-26,0,False
传媒,电视广播,电视广播Ⅲ,6,301262.SZ,海看股份,82.07,2.2172,19.68,2023-06-20,0,False
传媒,电视广播,电视广播Ⅲ,7,601929.SS,吉视传媒,82.01,3.2493,2.35,2012-02-23,0,False
传媒,电视广播,电视广播Ⅲ,8,600936.SS,北投科技,77.7,3.8316,4.65,2016-08-15,0,False
公用事业,燃气,燃气Ⅲ,1,600803.SS,新奥股份,582.51,1.8086,18.82,1994-01-03,0,True
公用事业,燃气,燃气Ⅲ,2,605090.SS,九丰能源,231.48,2.9333,32.76,2021-05-25,0,False
公用事业,燃气,燃气Ⅲ,3,601139.SS,深圳燃气,186.41,1.0976,6.48,2009-12-25,0,False
公用事业,燃气,燃气Ⅲ,4,001331.SZ,胜通能源,176.43,2.5604,43.11,2022-09-08,0,False
公用事业,燃气,燃气Ⅲ,5,600635.SS,大众公用,135.81,1.3739,4.6000000000000005,1993-03-04,0,False
公用事业,燃气,燃气Ⅲ,6,603393.SS,新天然气,107.93,2.2046,25.46,2016-09-12,0,False
公用事业,燃气,燃气Ⅲ,7,300483.SZ,首华燃气,92.46,3.6311,24.01,2015-06-30,0,False
公用事业,燃气,燃气Ⅲ,8,600903.SS,贵州燃气,79.97,4.6821,6.87,2017-11-07,0,False
公用事业,燃气,燃气Ⅲ,9,000593.SZ,德龙汇能,76.21,3.1568,21.25,1996-03-12,0,False
公用事业,燃气,燃气Ⅲ,10,600617.SS,国新能源,64.44,1.1631,3.34,1992-10-13,0,False
公用事业,燃气,燃气Ⅲ,11,603318.SS,水发燃气,52.92,6.8376,9.54,2015-04-24,0,False
公用事业,燃气,燃气Ⅲ,12,300332.SZ,天壕能源,41.71,1.4801,4.92,2012-06-28,0,False
公用事业,燃气,燃气Ⅲ,13,001299.SZ,美能能源,31.08,1.8372,9.89,2022-10-31,0,False
公用事业,电力,水力发电,1,600900.SS,长江电力,6961.21,25.415,28.45,2003-11-18,0,True
公用事业,电力,核力发电,2,003816.SZ,中国广核,2166.4,5.042,4.29,2019-08-26,0,True
公用事业,电力,核力发电,3,601985.SS,中国核电,1869.63,7.4851,9.09,2015-06-10,0,True
公用事业,电力,水力发电,4,600025.SS,华能水电,1827.71,2.8619,9.81,2017-12-15,0,True
公用事业,电力,风力发电,5,600930.SS,华电新能,1656.06,3.8945,3.97,2025-07-16,0,False
