symbol,name,category_l1,category_l2,category_l3,sw_l3,mktcap_yi,avg_amount_20d_yi,listing_date,档位,行情名
600802.SS,福建水泥,股票,建筑材料,水泥,水泥制造,26.99,1.2399,1994-01-03,1亿以上,
301526.SZ,国际复材,股票,建筑材料,玻璃玻纤,玻纤制造,1196.12,43.4692,2023-12-26,1亿以上,
002080.SZ,中材科技,股票,建筑材料,玻璃玻纤,玻纤制造,927.16,23.0594,2006-11-20,1亿以上,
603601.SS,再升科技,股票,建筑材料,玻璃玻纤,玻纤制造,117.09,8.1594,2015-01-22,1亿以上,
605006.SS,山东玻纤,股票,建筑材料,玻璃玻纤,玻纤制造,110.85,9.1809,2020-09-03,1亿以上,
300196.SZ,长海股份,股票,建筑材料,玻璃玻纤,玻纤制造,79.71,3.222,2011-03-29,1亿以上,
002043.SZ,兔 宝 宝,股票,建筑材料,装修建材,其他建材,89.78,1.4995,2005-05-10,1亿以上,
002785.SZ,万里石,股票,建筑材料,装修建材,其他建材,83.15,2.4534,2015-12-23,1亿以上,
001212.SZ,中旗新材,股票,建筑材料,装修建材,其他建材,72.61,1.1636,2021-08-23,1亿以上,
300715.SZ,凯伦股份,股票,建筑材料,装修建材,防水材料,53.72,1.1844,2017-10-26,1亿以上,
300234.SZ,开尔新材,股票,建筑材料,装修建材,其他建材,51.58,1.0845,2011-06-22,1亿以上,
601618.SS,中国中冶,股票,建筑装饰,专业工程,其他专业工程,519.36,2.2024,2009-09-21,1亿以上,
601117.SS,中国化学,股票,建筑装饰,专业工程,化学工程,439.6,4.1811,2010-01-07,1亿以上,
600970.SS,中材国际,股票,建筑装饰,专业工程,国际工程,203.45,1.1212,2005-04-12,1亿以上,
605289.SS,罗曼股份,股票,建筑装饰,专业工程,其他专业工程,149.28,2.9292,2021-04-26,1亿以上,
002541.SZ,鸿路钢构,股票,建筑装饰,专业工程,钢结构,128.36,1.8833,2011-01-18,1亿以上,
601133.SS,柏诚股份,股票,建筑装饰,专业工程,其他专业工程,125.6,2.3474,2023-04-10,1亿以上,
601868.SS,中国能建,股票,建筑装饰,基础建设,基建市政工程,1070.61,4.7136,2021-09-28,1亿以上,
601390.SS,中国中铁,股票,建筑装饰,基础建设,基建市政工程,1052.39,3.7524,2007-12-03,1亿以上,
601800.SS,中国交建,股票,建筑装饰,基础建设,基建市政工程,940.4,1.4596,2012-03-09,1亿以上,
601186.SS,中国铁建,股票,建筑装饰,基础建设,基建市政工程,814.77,1.8597,2008-03-10,1亿以上,
601669.SS,中国电建,股票,建筑装饰,基础建设,基建市政工程,780.35,3.2754,2011-10-18,1亿以上,
